Nub,Genotype_Original,Genotype,Frag_GE,Species,Tank,Treatment,Timepoint,TreatTime,GE_sample,Surface_Area_cm2,red_chan_avg_t0,red_chan_avg_t1,red_chan_avg_t3,red_chan_avg_t4,pam_avg_t0,pam_avg_t1,pam_avg_t2,pam_avg_t3,pam_avg_t4,bw_avg_t0,bw_avg_t1,bw_avg_t2,bw_avg_t3,bw_avg_t4,GE_RawReads,GE_TrimmedReads,GE_HoloMappingEfficiency(%),GE_HolobiontMapCounts,GE_HostCounts,GE_HostMapping Efficiency(%),GE_SymbiontCounts,GE_SymbiontMappingEfficiency(%),GE_HostGenes,GE_SymbiontGenes,gross_photo_t3,gross_photo_t4,net_photo_t3,net_photo_t4,resp_t3,resp_t4,PR_t3,PR_t4
VF40.1,VF,VF,VF40-1,O. faveolata,6C,Control,Postheat,Control_Postheat,Postheat,11.9569392,51.5,58.9,41.2,53.7,0.56966667,0.61733333,0.57633333,0.56133333,0.52233333,7.72,8.08,8.33,8.43,8.53,8826452,1274918,84.6,1078118,811199,63.6275431,266919,20.93617,13601,1548,,,,,,,,
VF40.2,VF,VF,VF40-2,O. faveolata,8C,DTV,Postheat,DTV_Postheat,Postheat,13.3528384,44.8,56.2,34.7,48.5,0.60533333,0.627,0.615,0.577,0.537,9.94,10.39,10.6333333,10.85,10.92,8850477,1116559,85.9,958892,758409,67.923773,200483,17.9554327,13531,1425,,,,,,,,
VG1.1,VG,VG,VG1-1,O. faveolata,6C,Control,Postheat,Control_Postheat,Postheat,9.1097606,61.5,114.1,59.3,60.5,0.531,0.56766667,0.54733333,0.55833333,0.52466667,10.79,11.0133333,11.13,10.9933333,10.9,7421010,1930161,84.6,1633204,1371576,71.0601862,261628,13.5547242,15541,1642,,,,,,,,
VG1.2,VG,VG,VG1-2,O. faveolata,8C,DTV,Postheat,DTV_Postheat,Postheat,8.08496387,61.2,93.1,56.5,72.4,0.556,0.60166667,0.58666667,0.56333333,0.55466667,8.07,8.23,8.3,8.34,8.34333333,7235264,1139463,85.9,978973,743384,65.2398542,235589,20.675441,14028,1557,,,,,,,,
VG17.1,VG,VG,VG17-1,O. faveolata,6C,Control,Postheat,Control_Postheat,,8.64202426,46.7,85,69.5,61.4,0.57166667,0.57266667,0.56033333,0.55633333,0.53633333,8.12,8.24666667,8.34,8.40666667,8.43333333,,,,,,,,,,,,,,,,,,
VG17.2,VG,VG,VG17-2,O. faveolata,8B,DTV,Preheat,DTV_Preheat,Preheat,12.5513335,59.9,105.5,60.8,,0.573,0.614,0.58466667,0.55866667,,9.03666667,9.2,9.31,9.4,,7173769,2575007,86.3,2223302,1089053,42.2932054,1134249,44.0483851,15486,2271,,,,,,,,
VG21.1,VG,VG,VG21-1,O. faveolata,6B,Control,Preheat,Control_Preheat,,9.61069262,53.3,123.1,55,,0.53466667,0.55833333,0.55333333,0.552,,7.59,7.74,7.84,7.9,,,,,,,,,,,,4.83846002,,2.2708301,,2.56762992,,1.884407088,
VG21.2,VG,VG,VG21-2,O. faveolata,8B,DTV,Preheat,DTV_Preheat,,10.9801024,64.6,102,41.3,,0.557,0.59833333,0.57833333,0.54733333,,8.46,8.67,8.78,8.85666667,,,,,,,,,,,,3.35564828,,1.26022402,,2.09542427,,1.601417111,
VG39.1,VG,VG,VG39-1,O. faveolata,6A,Control,Preheat,Control_Preheat,,4.58222466,69,116.5,46.5,,0.51766667,0.51533333,0.538,0.538,,8.56,8.7,8.8,8.83666667,,,,,,,,,,,,6.45080568,,3.8625564,,2.58824928,,2.492343272,
VG39.2,VG,VG,VG39-2,O. faveolata,8A,DTV,Postheat,DTV_Postheat,,11.2387897,65.5,84,57.2,43.4,0.57933333,0.60833333,0.58833333,0.56833333,0.52733333,8.28,8.4,8.48333333,8.52,8.52,,,,,,,,,,,,,,,,,,
VG6.1,VG,VG,VG6-1,O. faveolata,6B,Control,Preheat,Control_Preheat,Preheat,5.05522688,59.8,99.9,66.9,,0.49433333,0.496,0.51466667,0.514,,8.75,8.83,8.89333333,8.93,,7842604,1144238,83.5,955417,499116,43.6199462,456301,39.8781547,13535,1902,,,,,,,,
VG6.2,VG,VG,VG6-2,O. faveolata,8C,DTV,Postheat,DTV_Postheat,,5.6689729,74.7,111,48.8,43.8,0.52766667,0.566,0.53933333,0.54033333,0.53833333,8.71666667,8.8,8.87,8.9,8.92,,,,,,,,,,,,5.91846325,,3.14873402,,2.76972923,,2.13683821
VG8.1,VG,VG,VG8-1,O. faveolata,6A,Control,Postheat,Control_Postheat,,4.96279019,71.8,107.8,53.2,62.4,0.48833333,0.49466667,0.53033333,0.53633333,0.51233333,8.62,8.79333333,8.86,8.92,8.89666667,,,,,,,,,,,,5.17152993,,1.80414769,,3.36738224,,1.535771576
VG8.2,VG,VG,VG8-2,O. faveolata,8A,DTV,Preheat,DTV_Preheat,,4.96739576,70,92.9,79.9,,0.542,0.57266667,0.57133333,0.573,,9.23,9.29,9.34666667,9.38,,,,,,,,,,,,6.22708688,,4.32389771,,1.90318917,,3.271922192,
