Nub,Genotype_Original,Genotype,Frag_GE,Species,Tank,Treatment,Timepoint,TreatTime,GE_sample,Surface_Area_cm2,red_chan_avg_t0,red_chan_avg_t1,red_chan_avg_t3,red_chan_avg_t4,pam_avg_t0,pam_avg_t1,pam_avg_t2,pam_avg_t3,pam_avg_t4,bw_avg_t0,bw_avg_t1,bw_avg_t2,bw_avg_t3,bw_avg_t4,GE_RawReads,GE_TrimmedReads,GE_HoloMappingEfficiency(%),GE_HolobiontMapCounts,GE_HostCounts,GE_HostMapping Efficiency(%),GE_SymbiontCounts,GE_SymbiontMappingEfficiency(%),GE_HostGenes,GE_SymbiontGenes,gross_photo_t3,gross_photo_t4,net_photo_t3,net_photo_t4,resp_t3,resp_t4,PR_t3,PR_t4
KF23.1,KF,KF,KF23-1,O. franksi,6B,Control,Preheat,Control_Preheat,,9.4945586,34,52.9,39.3,,0.55066667,0.56866667,0.56933333,0.56233333,,9.98,10.2466667,10.3666667,10.4266667,,,,,,,,,,,,6.19879577,,3.41946936,,2.77932641,,2.230323055,
KF23.2,KF,KF,KF23-2,O. franksi,8C,DTV,Preheat,DTV_Preheat,Preheat,7.51437363,36.9,45.3,47.6,,0.55033333,0.59033333,0.58566667,0.577,,7.74,7.90333333,8.06,8.13,,9225466,1519045,74.8,1136577,1051869,69.2454141,84708,5.57639833,14630,661,,,,,,,,
KF7.1,KF,KF,KF7-1,O. franksi,6C,Control,Postheat,Control_Postheat,,17.2948182,46.6,60.6,60,84.1,0.51733333,0.56033333,0.56833333,0.54766667,0.52533333,8.03666667,8.55333333,8.76,8.91,8.92333333,,,,,,,,,,,,1.47170401,,-0.3048797,,1.77658374,,0.828389891
KF7.2,KF,KF,KF7-2,O. franksi,8A,DTV,Preheat,DTV_Preheat,,16.3751145,53.6,56.2,44.9,,0.53866667,0.61466667,0.563,0.56066667,,9.32,9.57,9.9,10.1466667,,,,,,,,,,,,3.66668111,,1.97388674,,1.69279438,,2.16605227,
KF9.1,KF,KF,KF9-1,O. franksi,6C,Control,Preheat,Control_Preheat,Preheat,14.2507791,34.3,51.2,43.3,,0.519,0.55533333,0.527,0.54,,8.39,8.86666667,9.09,9.25,,7930530,1109431,70.8,785068,628007,56.6062243,157061,14.1568966,12889,1113,,,,,,,,
KF9.2,KF,KF,KF9-2,O. franksi,8C,DTV,Postheat,DTV_Postheat,,15.2857949,37.4,65.6,46.6,77,0.574,0.59166667,0.59566667,0.564,0.54633333,7.95,8.20666667,8.48333333,8.54,8.69,,,,,,,,,,,,,,,,,,
KG1.1,KG,KA_KG,KG1-1,O. franksi,6B,Control,Preheat,Control_Preheat,,8.63151705,40.3,60.9,89.5,,0.574,0.57466667,0.54466667,0.56166667,,8.14666667,8.32,8.39,8.47,,,,,,,,,,,,5.95879577,,4.13661067,,1.82218509,,3.270137486,
KG1.2,KG,KA_KG,KG1-2,O. franksi,8A,DTV,Postheat,DTV_Postheat,,9.73356627,44,46.7,67,86.2,0.598,0.59766667,0.56366667,0.55033333,0.50766667,8.55,8.76,8.87,8.92,8.93,,,,,,,,,,,,,,,,,,
KG12.1,KG,KA_KG,KG12-1,O. franksi,6C,Control,Preheat,Control_Preheat,Preheat,12.5849541,37.8,77.7,41.3,,0.54433333,0.59033333,0.60766667,0.58733333,,7.6,7.89,8.02666667,8.09,,7193077,2067895,84.2,1741794,1051820,50.8642847,689974,33.3660075,15025,2079,,,,,,,,
KG12.2,KG,KA_KG,KG12-2,O. franksi,8C,DTV,Preheat,DTV_Preheat,Preheat,12.892755,38.2,69.5,51.3,,0.58666667,0.618,0.59166667,0.56366667,,9.18666667,9.43,9.57333333,9.64,,7410684,1907147,84.2,1606091,1099529,57.6530808,506562,26.5612457,15013,1921,,,,,,,,
KG16.1,KG,KA_KG,KG16-1,O. franksi,6B,Control,Postheat,Control_Postheat,,7.49413071,48.3,72.2,68.4,63.7,0.54533333,0.57366667,0.56866667,0.553,0.523,10.0533333,10.21,10.31,10.34,10.11,,,,,,,,,,,,,,,,,,
KG16.2,KG,KA_KG,KG16-2,O. franksi,8A,DTV,Preheat,DTV_Preheat,,8.65783905,49.2,56.2,43.3,,0.59533333,0.62466667,0.613,0.57266667,,6.88,6.97666667,7.04,7.08333333,,,,,,,,,,,,4.41950281,,2.45627627,,1.96322653,,2.251142567,
KG31.1,KG,KA_KG,KG31-1,O. franksi,6C,Control,Postheat,Control_Postheat,Postheat,10.1042505,49.5,84.4,53.9,84.3,0.546,0.594,0.57533333,0.54866667,0.533,7.58,7.75,7.83,7.86333333,7.87666667,5988279,1735758,81.5,1414561,1222731,70.4436333,191830,11.0516558,15395,1466,,,,,,,,
KG31.2,KG,KA_KG,KG31-2,O. franksi,8C,DTV,Postheat,DTV_Postheat,Postheat,8.48460848,45.4,76.9,63.1,79,0.567,0.63633333,0.58666667,0.57133333,0.56666667,9.86,10.02,10.09,10.12,10.13,5222728,1573192,83.1,1307721,900488,57.2395486,407233,25.8857787,14966,1884,,,,,,,,
KG33.1,KG,KA_KG,KG33-1,O. franksi,6A,Control,Postheat,Control_Postheat,,5.42219401,43.1,65.1,48,62.1,0.55133333,0.58333333,0.546,0.536,0.512,7.39,7.61333333,7.66,7.6,7.72,,,,,,,,,,,,6.97038482,,4.15938794,,2.81099687,,2.479684305
KG33.2,KG,KA_KG,KG33-2,O. franksi,8B,DTV,Preheat,DTV_Preheat,,8.12061106,51.3,86.2,65.5,,0.57566667,0.61633333,0.58066667,0.55733333,,9.06333333,9.12,9.29,9.3,,,,,,,,,,,,3.88134424,,1.30396974,,2.57737449,,1.505929486,
KG37.1,KG,KA_KG,KG37-1,O. franksi,6A,Control,Preheat,Control_Preheat,,9.51668844,38.1,46.6,52.3,,0.555,0.593,0.571,0.56366667,,7.56,7.84666667,7.90333333,7.91,,,,,,,,,,,,5.13637782,,3.13502646,,2.00135135,,2.566454821,
KG37.2,KG,KA_KG,KG37-2,O. franksi,8B,DTV,Postheat,DTV_Postheat,,11.9578518,50.1,91.2,68.3,83.2,0.61433333,0.64266667,0.58166667,0.54833333,0.536,8.45,8.61,8.68,8.81,8.92,,,,,,,,,,,,2.64951717,,0.56380779,,2.08570938,,1.270319439
VB1.1,VB,VB_VD,VB1-1,O. faveolata,6A,Control,Preheat,Control_Preheat,,7.52194783,47,98.8,60.2,,0.54733333,0.545,0.55633333,0.52533333,,9.83,10,10.23,10.21,,,,,,,,,,,,6.20159604,,3.67218558,,2.52941046,,2.451795048,
VB1.2,VB,VB_VD,VB1-2,O. faveolata,8A,DTV,Preheat,DTV_Preheat,Preheat,9.43930157,64.6,75.9,41.5,,0.595,0.617,0.58166667,0.57233333,,8.53,8.75333333,8.98,9.05666667,,6265451,1903223,85.6,1628341,984297,51.7173763,644044,33.8396499,15252,2063,,,,,,,,
VB11.1,VB,VB_VD,VB11-1,O. faveolata,6C,Control,Postheat,Control_Postheat,Postheat,6.49888718,43.4,99,58.7,73.9,0.544,0.528,0.537,0.51666667,0.46933333,8.52,8.68,8.8,8.86,8.88,6573910,2031826,85.7,1740949,1286493,63.3170852,454456,22.3668759,15570,2159,,,,,,,,
VB11.2,VB,VB_VD,VB11-2,O. faveolata,8C,DTV,Postheat,DTV_Postheat,Postheat,8.11949605,49.3,102.8,54.5,77.6,0.57533333,0.58966667,0.575,0.517,0.531,7.36,7.55,7.74,7.81,7.84,6368067,1122908,85.9,964764,605945,53.9621233,358819,31.9544433,13981,1785,,,,,,,,
VB15.1,VB,VB_VD,VB15-1,O. faveolata,6C,Control,Postheat,Control_Postheat,,11.9507057,52.4,91.1,61.1,69,0.55833333,0.59033333,0.55966667,0.54366667,0.53933333,8.16,8.48,8.84,8.95,8.98,,,,,,,,,,,,5.49662474,,3.21649731,,2.28012742,,2.410665602
VB15.2,VB,VB_VD,VB15-2,O. faveolata,8B,DTV,Postheat,DTV_Postheat,,10.1442893,51.9,98.8,53.4,75.2,0.58333333,0.60666667,0.58833333,0.54133333,0.53366667,7.53666667,7.76,8.02,8.15,8.19666667,,,,,,,,,,,,4.50392373,,1.75819873,,2.745725,,1.640340431
VB3.1,VB,VB_VD,VB3-1,O. faveolata,6B,Control,Preheat,Control_Preheat,,9.08435323,58.8,86.3,59.9,,0.53333333,0.56866667,0.54,0.51866667,,7.77,7.98666667,8.15,8.23,,,,,,,,,,,,4.23875964,,1.91839859,,2.32036106,,1.82676727,
VB3.2,VB,VB_VD,VB3-2,O. faveolata,8C,DTV,Postheat,DTV_Postheat,,11.3532942,50.4,89.4,48.6,62.2,0.55233333,0.61866667,0.58666667,0.546,0.52966667,7.98,8.23,8.34666667,8.53,8.56666667,,,,,,,,,,,,,,,,,,
VB5.1,VB,VB_VD,VB5-1,O. faveolata,6A,Control,Preheat,Control_Preheat,Preheat,9.50734947,48.4,94.5,59.4,,0.535,0.59166667,0.52866667,0.51,,8.59,8.78,8.90333333,8.96,,7461661,2347548,80.8,1897148,967810,41.2264201,929338,39.5876038,15277,2198,,,,,,,,
VB5.2,VB,VB_VD,VB5-2,O. faveolata,8B,DTV,Preheat,DTV_Preheat,,9.16768611,50.6,105.3,49.6,,0.58766667,0.592,0.556,0.532,,8.53666667,8.73,8.9,8.91,,,,,,,,,,,,6.59200924,,4.07365592,,2.51835332,,2.61758713,
VB8.1,VB,VB_VD,VB8-1,O. faveolata,6B,Control,Postheat,Control_Postheat,,3.86256311,37.7,66.4,48.9,55.7,0.56966667,0.538,0.54666667,0.51633333,0.51533333,7.13,7.23,7.31,7.34,7.36,,,,,,,,,,,,,,,,,,
VB8.2,VB,VB_VD,VB8-2,O. faveolata,8A,DTV,Preheat,DTV_Preheat,,5.53785715,63.6,76.3,57.5,,0.56866667,0.616,0.55466667,0.53666667,,8.80666667,8.94333333,9.05333333,9.09,,,,,,,,,,,,10.7800907,,7.50162078,,3.27846988,,3.288146939,
VD10.1,VD,VB_VD,VD10-1,O. faveolata,6B,Control,Preheat,Control_Preheat,Preheat,4.00097957,38,68.1,42.4,,0.52366667,0.63233333,0.541,0.50633333,,7.85,7.95,8.02,8.04666667,,6464677,1876021,83.4,1564328,1130491,60.2600397,433837,23.1253808,15342,1902,,,,,,,,
VD10.2,VD,VB_VD,VD10-2,O. faveolata,8C,DTV,Postheat,DTV_Postheat,,4.95451069,34.1,56.6,30.8,46.8,0.56766667,0.61233333,0.553,0.56933333,0.538,6.56,6.68,6.76,6.79,6.80666667,,,,,,,,,,,,8.15311896,,4.8938424,,3.25927656,,2.501511857
VD14.1,VD,VB_VD,VD14-1,O. faveolata,6C,Control,Postheat,Control_Postheat,,4.36768676,52.5,93.4,52,61.6,0.561,0.56433333,0.54,0.51233333,0.502,7.58,7.67,7.75,7.79,7.85,,,,,,,,,,,,,,,,,,
VD14.2,VD,VB_VD,VD14-2,O. faveolata,8C,DTV,Postheat,DTV_Postheat,,5.06010782,47,94.1,34.5,68.9,0.572,0.591,0.55066667,0.528,0.513,7.28,7.38,7.49333333,7.56333333,7.62666667,,,,,,,,,,,,,,,,,,
VD15.1,VD,VB_VD,VD15-1,O. faveolata,6A,Control,Preheat,Control_Preheat,,6.41046039,44.6,84.4,55.2,,0.54833333,0.56166667,0.53466667,0.52466667,,8.73,8.9,8.97666667,9,,,,,,,,,,,,7.03886019,,5.2282573,,1.81060288,,3.887578147,
VD15.2,VD,VB_VD,VD15-2,O. faveolata,8B,DTV,Preheat,DTV_Preheat,Preheat,6.23774125,47.1,103.1,39.7,,0.601,0.62333333,0.55933333,0.538,,9.14,9.27,9.46,9.5,,7486510,2071516,84.4,1747967,1182197,57.0691706,565770,27.3118817,15464,2001,,,,,,,,
VD17.1,VD,VB_VD,VD17-1,O. faveolata,6C,Control,Postheat,Control_Postheat,Postheat,7.5554734,54.2,77,51.6,51.6,0.57166667,0.60133333,0.58433333,0.558,0.5,9.27,9.43,9.57666667,9.64666667,9.66,8107613,1870435,83.4,1559732,984099,52.613376,575633,30.7753544,15256,2004,,,,,,,,
VD17.2,VD,VB_VD,VD17-2,O. faveolata,8A,DTV,Postheat,DTV_Postheat,Postheat,7.17494344,39.6,83.4,25.6,49.3,0.574,0.59533333,0.566,0.57333333,0.53933333,6.68666667,6.86,7.00333333,7.05666667,7.08666667,7697623,2185702,83.1,1816954,1504792,68.8470798,312162,14.2820019,15763,1772,,,,,,,,
VD2.1,VD,VB_VD,VD2-1,O. faveolata,6A,Control,Postheat,Control_Postheat,,6.08144566,44.1,84.2,60,60,0.57333333,0.572,0.54566667,0.524,0.511,8.45666667,8.58,8.66,8.71,8.75,,,,,,,,,,,,4.46594892,,1.44682779,,3.01912113,,1.479221511
VD2.2,VD,VB_VD,VD2-2,O. faveolata,8B,DTV,Preheat,DTV_Preheat,,7.80550123,52.6,92.3,50.5,,0.57266667,0.60433333,0.58033333,0.551,,9.86,10.02,10.17,10.2366667,,,,,,,,,,,,6.99043855,,4.62500401,,2.36543454,,2.95524498,
VD4.1,VD,VB_VD,VD4-1,O. faveolata,6B,Control,Preheat,Control_Preheat,,6.0503382,51.3,86.1,68,,0.551,0.56266667,0.53133333,0.50566667,,9.31,9.48,9.58,9.65,,,,,,,,,,,,6.05400865,,4.02090163,,2.03310702,,2.977712728,
VD4.2,VD,VB_VD,VD4-2,O. faveolata,8A,DTV,Preheat,DTV_Preheat,,8.53191833,54.5,99.8,68.2,,0.56466667,0.61233333,0.544,0.546,,9.51,9.72,9.84,9.89,,,,,,,,,,,,6.61113329,,4.59095736,,2.02017592,,3.272553259,
VE14.1,VE,VE,VE14-1,O. faveolata,6C,Control,Postheat,Control_Postheat,,11.3091717,46.1,64.2,58.8,66.6,0.60433333,0.617,0.62166667,0.61066667,0.56133333,7.7,7.83,7.97,8.07,8.10666667,,,,,,,,,,,,,,,,,,
VE14.2,VE,VE,VE14-2,O. faveolata,8C,DTV,Preheat,DTV_Preheat,Preheat,12.1557127,54.9,59.4,43.2,,0.629,0.64333333,0.64366667,0.62933333,,8.15,8.39,8.60333333,8.73666667,,6851480,2143480,88.4,1894628,828850,38.668427,1065778,49.7218542,14360,2131,,,,,,,,
VE15.1,VE,VE,VE15-1,O. faveolata,6B,Control,Preheat,Control_Preheat,,9.79135951,44.7,73.2,45.3,,0.57733333,0.62633333,0.618,0.61933333,,7.81,7.92,8.19333333,8.26,,,,,,,,,,,,6.30040927,,4.19383717,,2.10657209,,2.990834873,
VE15.2,VE,VE,VE15-2,O. faveolata,8B,DTV,Postheat,DTV_Postheat,,10.2708794,43.3,67,35.7,38.3,0.601,0.625,0.62366667,0.61133333,0.59966667,8.87,8.99,9.2,9.34,9.46,,,,,,,,,,,,,,,,,,
