treatment,tank,date,temperature,salinity,nitrate,phosphate,calcium,alkalinity,magnesium,
"2 biacarb, 1 ca, 34.9 after DI",Sys 6,10/9/20,25.5,35.5,0,0.13,445,9.5,1400,
"2 bicarb, 1 ca, 33.9 after DI",Sys 8,10/9/20,25.5,35.1,0,0,445,9.6,1380,
"2 bicarb, 1 ca",Sys 6,10/12/20,26,35.2,,,,,,
"2 bicarb, 1 Ca",Sys 8,10/12/20,26.8,34.6,,,,,,
,Sys 6,10/13/20,25.6,34,,,,,,
,Sys 8,10/13/20,26.4,32.9,,,,,,
,Sys 6,10/14/20,25.5,34,,,,,,
,Sys 8,10/14/20,27.4,33.4,,,,,,
,Sys 6,10/15/20,25.9,34.3,,,,,,
,Sys 8,10/15/20,26,33.6,,,,,,
,Sys 6,10/16/20,27.1,34.1,0,0,460,10.5,1350,
,Sys 8,10/16/20,26.1,33.4,0,0,470,9.3,1330,
1 ca,Sys 6,10/19/20,25.6,34.5,,,,,,
1 Ca,Sys 8,10/19/20,26.3,34.1,,,,,,
,Sys 6,10/20/20,25.7,34.4,,,,,,
,Sys 8,10/20/20,27.1,34.9,,,,,,
"1 bicarb, 1 ca",Sys 6,10/21/20,26.1,34.3,,,,,,
"1 Ca, 1 bicarb",Sys 8,10/21/20,27.5,34.7,,,,,,
,Sys 6,10/22/20,25.7,34.2,,,,,,
,Sys 8,10/22/20,27.2,33.6,,,,,,
,Sys 6,10/23/20,25.7,34.4,0,,445,10.3,1270,broken meter
replaced protein skimmer,Sys 8,10/23/20,26.4,33.6,0,,435,9.9,1300,broken meter
"1 bircarb, 1 ca",Sys 6,10/26/20,25.5,34.8,,,,,,
"1 bicarb, 1 Ca",Sys 8,10/26/20,26.3,34.4,,,,,,
,Sys 6,10/27/20,,,,,,,,
,Sys 8,10/27/20,,,,,,,,
,Sys 6,10/28/20,,,,,,,,
,Sys 8,10/28/20,,,,,,,,
,Sys 6,10/29/20,,,,,,,,
,Sys 8,10/29/20,,,,,,,,
"1 Ca, Added bsoblocks and starter, protein skimmer off until next friday, salinity 34.8 after replacing water post-feeding",Sys 6,10/30/20,25.5,35.2,0,,450,10.5,1470,broken meter
